id,name,category,location,price_tier,abv,cask_type,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
0,Hibiki 21 Year,Blended,Japan,5,43,"ex-bourbon American oak, ex-sherry European oak, Japanese mizunara",30,85,50,30,20,80,80,85,15,20,25,85,50
1,Highland Park 18 Year,Peated Single Malt,"Islands, Scotland",4,43,ex-sherry,40,30,40,20,40,70,80,70,40,50,50,70,20
2,Michter's 20 Year Kentucky Straight Bourbon (2021 Release),Bourbon,"Kentucky, USA",5,57.1,"new, charred American oak",15,0,20,0,15,80,90,85,5,30,25,35,0
3,George T. Stagg Bourbon (Fall 2019),Bourbon,"Kentucky, USA",4,58.45,"new, charred American oak",40,0,65,50,20,60,60,45,0,60,60,45,0
4,Bowmore Mizunara Cask Finish,Peated Single Malt,"Islay, Scotland",5,53.9,"ex-bourbon, ex-sherry, new Mizunara oak",30,20,40,30,10,75,75,60,20,30,20,50,5
5,Macallan M,Single Malt,"Highlands, Scotland",5,44.7,sherry oak casks,50,10,60,0,15,90,100,50,0,20,20,80,10
6,Port Ellen 32 Year 1979 (2012 Special Release),Peated Single Malt,"Islay, Scotland",5,52.5,"American oak, refill European oak ",70,50,20,10,20,80,80,60,5,40,25,50,0
7,Thomas H. Handy Sazerac Rye (Fall 2015),Rye,"Kentucky, USA",3,63.45,"new, charred American oak",10,0,60,0,10,80,80,80,0,50,10,30,20
8,William Larue Weller Bourbon (Fall 2015),Bourbon,"Kentucky, USA",3,67.3,"new, charred American oak",10,0,30,0,30,80,80,80,0,60,10,40,20
9,Balvenie Tun 1509 Batch 1,Single Malt,"Speyside, Scotland",5,47.1,ex-bourbon/ex-sherry,10,0,25,10,15,80,80,80,10,40,0,40,20
10,"Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""",Bourbon,"Kentucky, USA",3,64.35,"new, charred American oak",15,0,35,5,20,80,80,75,10,30,20,40,0
11,Four Roses Limited Edition Single Barrel Bourbon (2013),Bourbon,"Kentucky, USA",5,59.8,"new, charred American oak",30,0,80,40,40,90,90,70,30,10,0,60,10
12,Macallan Rare Cask,Single Malt,"Highlands, Scotland",5,43,first fill sherry,5,0,25,5,15,85,85,80,0,35,10,40,10
13,Four Roses Limited Edition Single Barrel Bourbon (2014),Bourbon,"Kentucky, USA",4,54.2,"new, charred American oak",10,0,60,60,80,100,100,80,20,90,0,80,10
14,Macallan Fine Oak 21 Year,Single Malt,"Highlands, Scotland",5,43,ex-sherry/ex-bourbon,15,0,10,0,10,80,85,80,0,25,5,30,5
15,Thomas H. Handy Sazerac Rye (Fall 2014),Rye,"Kentucky, USA",3,64.6,new charred oak,0,0,30,5,0,75,70,75,0,20,15,30,10
16,Parker's Heritage Promise of Hope,Bourbon,"Kentucky, USA",4,48,new charred oak,0,0,20,0,0,75,75,75,0,15,0,20,5
17,George Dickel x Leopold Bros Collaboration Blend (2021 Release),Rye,USA,4,50,,20,0,80,75,10,35,45,35,0,30,40,45,15
18,"Booker's Bourbon Batch 2021-01 ""Donohoe's Batch""",Bourbon,"Kentucky, USA",4,62.65,"new, charred American oak",5,0,25,40,10,75,75,85,5,30,10,40,0
19,Bushmills 28 Year The Rare Casks Cognac Cask Single Malt,Single Malt,Northern Ireland,5,46.7,"ex-bourbon and ex-oloroso sherry casks, finished in cognac casks",10,0,30,10,30,55,55,65,0,25,30,85,25
20,Bunnahabhain 2008 Moine Bordeaux Red Wine Cask Matured,Peated Single Malt,"Islay, Scotland",4,58.1,Bordeaux red wine casks,90,75,80,40,60,100,90,60,30,40,10,60,10
21,Bowmore Vintner's Trilogy 26 Year French Oak Barrique,Peated Single Malt,"Islay, Scotland",5,48.7,ex-bourbon & ex-red wine barriques,65,55,40,20,60,80,80,60,10,45,20,25,10
22,Sazerac Rye 18 Year (Fall 2017),Rye,"Kentucky, USA",4,45,"new, charred American oak",50,0,85,45,6,50,50,40,0,25,40,50,0
23,Ardbeg 17 Year,Peated Single Malt,"Islay, Scotland",5,40,Ex-bourbon Barrels,65,70,10,15,15,5,20,65,45,70,0,5,15
24,Teeling Platinum Reserve 30 Year Single Malt,Single Malt,Ireland,5,46,ex-bourbon,30,0,60,20,10,70,60,50,30,70,20,30,20
25,Hibiki 30 Year,Blended,Japan,5,43,,20,10,75,30,20,65,70,85,15,30,10,85,25
26,Laphroaig 32 Year,Peated Single Malt,"Islay, Scotland",5,46.7,ex-Oloroso sherry ,50,70,20,0,20,80,75,60,5,40,15,60,0
27,Glenmorangie 1970's Collection '77,Single Malt,"Highlands, Scotland",5,43,,30,10,40,10,20,60,70,40,0,50,10,30,30
28,Laphroaig Cairdeas 2013 Port Wood Edition,Peated Single Malt,"Islay, Scotland",4,51.3,ex-bourbon & port barrels,10,40,70,50,20,70,80,80,20,80,20,80,80
29,The Last Drop 48 Year Blended Scotch Whisky,Blended,Scotland,5,48.6,,10,10,30,20,10,70,60,60,0,50,10,60,20
30,Balblair 1983 1st Release,Single Malt,"Highlands , Scotland",5,46,ex-bourbon,10,0,35,5,10,75,75,70,0,40,10,40,10
31,Hirsch Selection 28 Year Bourbon,Bourbon,"Kentucky, USA",5,43.4,"new, charred American oak",60,0,80,40,40,100,100,80,0,100,60,80,60
32,Oban 21 Year Cask Strength,Peated Single Malt,"Highlands, Scotland",5,58.5,rejuvenated American oak and 2nd fill sherry casks,60,60,70,40,80,100,100,70,70,80,60,80,90
33,Wild Turkey Diamond Anniversary Bourbon,Bourbon,"Kentucky, USA",4,45.5,"new, charred American oak",60,0,60,50,25,50,50,55,0,55,25,60,30
34,Black Maple Hill 16 Year Bourbon,Bourbon,"Kentucky, USA",4,47.5,new charred oak,0,0,15,0,0,80,80,70,0,10,5,20,0
35,George T. Stagg Bourbon (Fall 2013),Bourbon,"Kentucky, USA",5,64.1,New American Oak,30,0,40,40,90,90,90,60,0,50,30,70,60
36,Highland Park 30 Year,Peated Single Malt,"Islands, Scotland",5,48.1,refill ex-sherry casks,50,50,60,30,30,70,70,70,50,50,20,60,40
