,username,whisky_name,rating
0,Wisco007,Glen Scotia 1832 Campbeltown,8.0
1,Bjarni-Janusson,Glen Scotia 1832 Campbeltown,7.0
2,Fomillo123,Glen Scotia 1832 Campbeltown,7.0
3,Fomillo123,Glen Scotia 1832 Campbeltown,7.0
4,Pelin-Tatlici,Glen Scotia 1832 Campbeltown,6.0
5,Renier,Glen Scotia 1832 Campbeltown,8.0
6,Zjan,Glen Scotia 1832 Campbeltown,5.0
7,kimb,Glen Scotia 1832 Campbeltown,8.0
8,Arthur-Chen,Glen Scotia 1832 Campbeltown,7.0
9,m_sunesson,Glen Scotia 1832 Campbeltown,8.0
10,DraGoon,Glen Scotia 1832 Campbeltown,6.0
11,Wisco007,Glen Scotia 1832 Campbeltown,7.0
12,aguilarjt,Glen Scotia 1832 Campbeltown,8.0
13,IrabaJon,Glen Scotia 1832 Campbeltown,9.0
14,Yoshi_Yamagishi,Glen Scotia 1832 Campbeltown,7.0
15,Yoshi_Yamagishi,Glen Scotia 1832 Campbeltown,8.0
16,peter5168,Glen Scotia 1832 Campbeltown,7.0
17,Tom-Watts,Glen Scotia 1832 Campbeltown,8.0
18,timmeh,Glen Scotia 1832 Campbeltown,8.0
19,Astrograph,Glen Scotia 1832 Campbeltown,10.0
20,Tontarion,Glen Scotia 1832 Campbeltown,8.0
21,Joe_C,Glen Scotia 1832 Campbeltown,8.0
22,JR1ST,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),9.0
23,bam5772,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),7.0
24,andrewat960,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),6.0
25,ndherbs,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),8.0
26,klsingle,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),7.0
27,Jacob-Webb,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),8.0
28,ndherbs,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),8.0
29,ndherbs,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),8.0
30,robcbowman,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),5.0
31,joeydoster,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),8.0
32,tcooperlong,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),5.0
33,meltyice,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),7.0
34,polishingmyknobcreek,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),8.0
35,Herr_WHIM,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),6.0
36,ggallrein,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),6.0
37,John_Q_Dough,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),4.0
38,Orl_R25,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),6.0
39,Mastro1006,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),7.0
40,bccrayy,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),6.0
41,Paige-Latham-Didora,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),6.0
42,JaimeCandelario,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),6.0
43,michaelgraves,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),5.0
44,kalinv,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),7.0
45,huckel39,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),7.0
46,Herb,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),6.0
47,Wayne-Miller,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),8.0
48,wittgrahamnc,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),2.0
49,spanks,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),7.0
50,Brian-Sitcawich,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),2.0
51,jdriip,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),4.0
52,fox_griffith,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),7.0
53,Tyler-Casey,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),6.0
54,Dloberg,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),5.0
55,Dloberg,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),6.0
56,LL,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),5.0
57,dwanderson,Bird Dog Small Batch Bourbon (Treeing Walker Coonhound),7.0
