,link,image,name,avr_rating,category,location
0,/spirits/mannochmore-2007-11-year-signatory,"https://ip-distiller.imgix.net/images/spirits/5c1de220-b761-0138-6c4a-221a502822fb/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Mannochmore 2007 11 Year (Signatory),,Single Malt,"Speyside, Scotland"
1,/spirits/blue-tick,"https://ip-distiller.imgix.net/images/spirits/4471ff40-b759-0138-6c45-221a502822fb/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Blue Tick,,Bourbon,"Lawrenceville  Kentucky , USA"
2,/spirits/okanagan,"https://ip-distiller.imgix.net/images/spirits/346e4d20-b756-0138-6c44-221a502822fb/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Okanagan,3.75,Single Malt,Canada
3,/spirits/cotswolds-single-malt-whisky,"https://ip-distiller.imgix.net/images/spirits/33f8faf0-b732-0138-933d-2e3170e3436f/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Cotswolds Single Malt Whisky,3.0,Single Malt,"Cotswolds, England"
4,/spirits/h-clark-small-batch-bourbon,"https://ip-distiller.imgix.net/images/spirits/09a3d0b0-b72e-0138-5114-1a6a57a7e2ea/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",H Clark Small Batch Bourbon,3.75,Bourbon,"TN , USA"
5,/spirits/devil-s-river,"https://ip-distiller.imgix.net/images/spirits/77d75f30-b722-0138-a031-2e192f3aace1/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Devil's River,3.63,Rye,"Texas, USA"
6,/spirits/ardbeg-1815-33-y-o-50-51,"https://ip-distiller.imgix.net/images/spirits/d6a0e170-b721-0138-9336-2e3170e3436f/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Ardbeg 1815 33 Year,,Single Malt,"Islay, Scotland"
7,/spirits/benrinnes-10-single-cask-2019-carn-mor,"https://ip-distiller.imgix.net/images/spirits/3a755260-b71b-0138-510c-1a6a57a7e2ea/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png","Benrinnes 10 Single Cask, 2019 (Cárn Mór)",3.83,Single Malt,"Speyside, Scotland"
8,/spirits/cameron-brig-22-year-old-single-grain-james-eadie,"https://ip-distiller.imgix.net/images/spirits/ed11dde0-b719-0138-510a-1a6a57a7e2ea/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Cameron Brig 22 year old single grain (James Eadie),4.13,Single Grain,"Lowland, Scotland"
9,/spirits/hart-brothers-glendronach-11yo-2009-for-the-netherlands,"https://ip-distiller.imgix.net/images/spirits/04ac2380-b703-0138-a024-2e192f3aace1/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Hart Brothers Glendronach 11yo 2009 for the Netherlands,4.0,Single Malt,"Highlands, Scotland"
