,link,image,name,avr_rating,category,location
0,/spirits/bunnahabhain-moine-px,"https://ip-distiller.imgix.net/images/spirits/217c1fd0-ab42-0137-fe02-06751d326f91/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Bunnahabhain Moine PX,4.25,Peated Single Malt,"Islay, Scotland"
1,/spirits/glenfarclas-2004-cask-strength-premium-edition,"https://ip-distiller.imgix.net/images/spirits/de849bb0-ab1e-0137-d3f5-12c1f86b60e1/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Glenfarclas 2004 Cask Strength Premium Edition,4.1,Single Malt,"Highlands, Scotland"
2,/spirits/vikre-honor-brand,"https://ip-distiller.imgix.net/images/spirits/06bd8910-aa9d-0137-7522-7a5380e3f647/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Vikre Honor Brand,3.56,Bourbon,USA
3,/spirits/mic-drop-4-year-straight-bourbon-l19-01,"https://ip-distiller.imgix.net/images/spirits/3b1823b0-aa85-0137-d3ce-12c1f86b60e1/micsrop_original-1657838792.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Mic Drop 4 Year Straight Bourbon (L19-01),3.78,Bourbon,"Indiana , USA"
4,/spirits/fugitives-grandgousier-tennessee-whiskey,"https://ip-distiller.imgix.net/images/spirits/b33cbe60-aa48-0137-7533-62cd0a677e3e/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Fugitives Grandgousier Tennessee Whiskey,3.91,Tennessee,"Tennessee , USA"
5,/spirits/leopold-bros-straight-bourbon-4-year,"https://ip-distiller.imgix.net/images/spirits/614a8430-a9dc-0137-751b-62cd0a677e3e/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Leopold Bros. Straight Bourbon 4 Year,3.53,Bourbon,"Colorado, USA"
6,/spirits/weller-antique-tribute-ucf-microbatch,"https://ip-distiller.imgix.net/images/spirits/24c8d910-a9ca-0137-750e-62cd0a677e3e/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Weller Antique Tribute UCF Microbatch,4.5,Bourbon,"Kentucky, USA"
7,/spirits/glenlivet-2007-12-year-un-chillfiltered-collection-signatory,"https://ip-distiller.imgix.net/images/spirits/8b8e21c0-a9b8-0137-eb22-6e5ef50f506a/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Glenlivet 2007 12 Year Un-Chillfiltered Collection (Signatory),3.89,Single Malt,"Speyside, Scotland"
8,/spirits/fettercairn-1988-29-year-cask-strength-collection-signatory,"https://ip-distiller.imgix.net/images/spirits/a33c7bf0-a9b7-0137-4ee1-66b1ff1dcac3/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Fettercairn 1988 29 Year Cask Strength Collection (Signatory),2.75,Single Malt,"Highlands, Scotland"
9,/spirits/fettercairn-1988-aged-29-years,"https://ip-distiller.imgix.net/images/spirits/f48029a0-a9b6-0137-d3a6-362b55a4a28b/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Fettercairn 1988 Aged 29 Years,,Single Malt,"Highland, Scotland"
10,/spirits/fettercairn-1988-aged-30-years-signatory,"https://ip-distiller.imgix.net/images/spirits/2cad5710-a9b6-0137-d3a4-362b55a4a28b/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Fettercairn 1988 Aged 30 Years (Signatory),4.08,Single Malt,"Highland, Scotland"
11,/spirits/ironroot-icarus-corn-whiskey,"https://ip-distiller.imgix.net/images/spirits/6b428270-a9b0-0137-16ae-3a5a551f947b/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Ironroot Icarus Corn Whiskey,3.96,Corn,"Texas, USA"
12,/spirits/denmark-distilling-sorghum-whiskey,"https://ip-distiller.imgix.net/images/spirits/4243baf0-a9a7-0137-4ed7-66b1ff1dcac3/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Denmark Distilling Sorghum Whiskey,,Other Whiskey,"Denmark, Wisconsin, USA"
13,/spirits/timekeeper-distillery-straight-bourbon-whiskey,"https://ip-distiller.imgix.net/images/spirits/6bf13ef0-a9a6-0137-d39b-362b55a4a28b/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Timekeeper Distillery Straight Bourbon Whiskey,3.51,Bourbon,"Wausau, Wisconsin, USA"
14,/spirits/jp-wisper-s-18-yr-old,"https://ip-distiller.imgix.net/images/spirits/5affca30-a9a4-0137-d397-362b55a4a28b/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",JP Wisper's 18 yr old,4.0,Canadian,"Canada, Canada"
15,/spirits/woodford-reserve-kentucky-derby-136,"https://ip-distiller.imgix.net/images/spirits/85a42f00-a99b-0137-4ece-66b1ff1dcac3/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Woodford Reserve Kentucky Derby 136,,Bourbon,"Kentucky, USA"
16,/spirits/woodford-reserve-kentucky-derby-134,"https://ip-distiller.imgix.net/images/spirits/ed861cb0-a99a-0137-4ecd-66b1ff1dcac3/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Woodford Reserve Kentucky Derby 134,,Bourbon,USA
17,/spirits/american-star-kentucky-straight-bourbon-whiskey,"https://ip-distiller.imgix.net/images/spirits/dd82a910-a989-0137-4ec5-66b1ff1dcac3/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",American star Kentucky straight bourbon whiskey,,Bourbon,USA
18,/spirits/double-mountain-hopped-whiskey,"https://ip-distiller.imgix.net/images/spirits/2580ef70-a981-0137-4ec3-66b1ff1dcac3/doubble_mountain_hopped_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Double Mountain Hopped Whiskey,2.75,Flavored Whiskey,"Oregon, USA"
19,/spirits/macintosh-silver-edition,"https://ip-distiller.imgix.net/images/spirits/c15795d0-a95c-0137-4eb9-66b1ff1dcac3/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Macintosh Silver Edition,,Blended,India
20,/spirits/woodinville-cask-strength-straight-rye-whiskey,"https://ip-distiller.imgix.net/images/spirits/083536d0-a912-0137-adbf-0e0a56cea5e9/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Woodinville Cask Strength Straight Rye,4.0,Rye,"Washington, USA"
21,/spirits/tomatin-2008-single-cask-168-the-whisky-club,"https://ip-distiller.imgix.net/images/spirits/f7e5f700-a8f4-0137-84ff-6ec0935d0c74/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Tomatin 2008 Single Cask #168 (The Whisky Club),3.38,Single Malt,"Highlands, Scotland"
22,/spirits/rich-grain-distilling-co-bourbon,"https://ip-distiller.imgix.net/images/spirits/ea7f0040-a8e2-0137-84f4-6ec0935d0c74/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Rich Grain Distilling Co. Bourbon,3.75,Bourbon,"Mississippi, USA"
23,/spirits/armorik-whisky-single-malt-breton,"https://ip-distiller.imgix.net/images/spirits/4f90cda0-a8cd-0137-0974-3ea5f4423e0d/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Armorik Whisky Single Malt Breton,3.17,Single Malt,"Brittany, France"
24,/spirits/mb-roland-kentucky-straight-corn-whiskey,"https://ip-distiller.imgix.net/images/spirits/55816bf0-a833-0137-77ea-1a29d9d2e780/mb_roland_kentucky_straight_corn_whiskey_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",MB Roland Kentucky Straight Corn Whiskey,3.38,Corn,"Kentucky, USA"
25,/spirits/onw-bourbon,"https://ip-distiller.imgix.net/images/spirits/a887df30-a819-0137-23e6-4afcd0a69d93/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",ONW Bourbon,3.14,Bourbon,"North Carolina , USA"
26,/spirits/cape-charles-small-batch-bourbon,"https://ip-distiller.imgix.net/images/spirits/75811e10-a801-0137-23e0-4afcd0a69d93/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Cape Charles Small Batch Bourbon,3.19,Bourbon,USA
27,/spirits/still-pond-4c-bourbon,"https://ip-distiller.imgix.net/images/spirits/d7d871c0-a7d1-0137-fac7-36b9e8d4fda8/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Still Pond 4C Bourbon,,Bourbon,"Georgia, USA"
28,/spirits/kilchoman-red-wine-finish-single-cask,"https://ip-distiller.imgix.net/images/spirits/787b1230-a7a9-0137-23cd-4afcd0a69d93/data_original.?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=&mark-align=top,left&mark-pad=0&mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/whiskey_tag.png",Kilchoman Red Wine Finish Single Cask,4.27,Peated Single Malt,"Islay, Scotland"
