,whisky_id,name
0,1,Hibiki 21 Year
1,2,Highland Park 18 Year
2,3,Michter's 20 Year Kentucky Straight Bourbon (2021 Release)
3,4,George T. Stagg Bourbon (Fall 2019)
4,5,Bowmore Mizunara Cask Finish
5,6,Macallan M
6,7,Port Ellen 32 Year 1979 (2012 Special Release)
7,8,Thomas H. Handy Sazerac Rye (Fall 2015)
8,9,William Larue Weller Bourbon (Fall 2015)
9,10,Balvenie Tun 1509 Batch 1
10,11,"Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch"""
11,12,Four Roses Limited Edition Single Barrel Bourbon (2013)
12,13,Macallan Rare Cask
13,14,Four Roses Limited Edition Single Barrel Bourbon (2014)
14,15,Macallan Fine Oak 21 Year
15,16,Thomas H. Handy Sazerac Rye (Fall 2014)
16,17,Parker's Heritage Promise of Hope
17,18,George Dickel x Leopold Bros Collaboration Blend (2021 Release)
18,19,"Booker's Bourbon Batch 2021-01 ""Donohoe's Batch"""
19,20,Bushmills 28 Year The Rare Casks Cognac Cask Single Malt
20,21,Bunnahabhain 2008 Mòine Bordeaux Red Wine Cask Matured
21,22,Bowmore Vintner's Trilogy 26 Year French Oak Barrique
22,23,Sazerac Rye 18 Year (Fall 2017)
23,24,Ardbeg 17 Year
24,25,Teeling Platinum Reserve 30 Year Single Malt
25,26,Hibiki 30 Year
26,27,Laphroaig 32 Year
27,28,Glenmorangie 1970's Collection '77
28,29,Laphroaig Cairdeas 2013 Port Wood Edition
29,30,The Last Drop 48 Year Blended Scotch Whisky
30,31,Balblair 1983 1st Release
31,32,Hirsch Selection 28 Year Bourbon
32,33,Oban 21 Year Cask Strength
33,34,Wild Turkey Diamond Anniversary Bourbon
34,35,Black Maple Hill 16 Year Bourbon
35,36,George T. Stagg Bourbon (Fall 2013)
36,37,Highland Park 30 Year
37,38,Yamazaki 18 Year
38,39,Lark Single Malt Distiller's Selection
39,40,Bushmills 21 Year Single Malt
40,41,Compass Box Hedonism
41,42,The Last Drop Signature Blend
42,43,Heaven Hill 17 Year Heritage Collection Barrel Proof Bourbon (Spring 2022)
43,44,Jack Daniel's Single Barrel Coy Hill High Proof (2021 Special Release)
44,45,Glenlivet 1940 80 Year Generations (Gordon & MacPhail)
45,46,Glenfiddich Grand Couronne 26 Year
46,47,Laphroaig 33 Year The Ian Hunter Story Book 3
47,48,Michter's US*1 Barrel Strength Kentucky Straight Rye (2021 Release)
48,49,Laphroaig 25 Year Cask Strength (2020 Edition)
49,50,WhistlePig The Boss Hog VII: Magellan's Atlantic
50,51,George T. Stagg Bourbon (Fall 2020)
51,52,Redbreast 27 Year
52,53,Mister Sam Blended Whiskey (2019 Release)
53,54,Bunnahabhain 2005 Palo Cortado Cask Finish
54,55,Canadian Club Chronicles 41 Year
55,56,Red Spot 15 Year Single Pot Still
56,57,William Larue Weller Bourbon (Fall 2018)
57,58,Old Forester Birthday Bourbon 2018
58,59,Catoctin Creek Rabble Rouser Bottled in Bond Rye
59,60,Bruichladdich 1984/32 Bourbon: All In
60,61,Lock Stock & Barrel Straight Rye Whiskey 18 Year
61,62,Canadian Club 40 Year
62,63,J.P. Wiser's 35 Year
63,64,Yamazaki 18 Year Mizunara Cask (2017 Edition)
64,65,Glenmorangie Grand Vintage 1990
