,name,total_rating,cost_rank,abv,cask_type,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
0,Hibiki 21 Year,861,5,43.0,"ex-bourbon American oak, ex-sherry European oak, Japanese mizunara",30,85,50,30,20,80,80,85,0,15,20,25,85,50
1,Highland Park 18 Year,2987,4,43.0,ex-sherry,40,30,40,20,40,70,80,70,20,40,50,50,70,20
2,Michter's 20 Year Kentucky Straight Bourbon (2021 Release),10,5,57.1,"new, charred American oak",15,0,20,0,15,80,90,85,0,5,30,25,35,0
3,George T. Stagg Bourbon (Fall 2019),628,4,58.45,"new, charred American oak",40,0,65,50,20,60,60,45,0,0,60,60,45,0
4,Bowmore Mizunara Cask Finish,22,5,53.9,"ex-bourbon, ex-sherry, new Mizunara oak",30,20,40,30,10,75,75,60,15,20,30,20,50,5
5,Macallan M,47,5,44.7,sherry oak casks,50,10,60,0,15,90,100,50,0,0,20,20,80,10
6,Port Ellen 32 Year 1979 (2012 Special Release),27,5,52.5,"American oak, refill European oak ",70,50,20,10,20,80,80,60,15,5,40,25,50,0
7,Thomas H. Handy Sazerac Rye (Fall 2015),169,3,63.45,"new, charred American oak",10,0,60,0,10,80,80,80,0,0,50,10,30,20
8,William Larue Weller Bourbon (Fall 2015),252,3,67.3,"new, charred American oak",10,0,30,0,30,80,80,80,0,0,60,10,40,20
9,Balvenie Tun 1509 Batch 1,80,5,47.1,ex-bourbon/ex-sherry,10,0,25,10,15,80,80,80,0,10,40,0,40,20
10,"Booker's Bourbon Batch 2015-01 ""Big Man, Small Batch""",716,3,64.35,"new, charred American oak",15,0,35,5,20,80,80,75,0,10,30,20,40,0
11,Four Roses Limited Edition Single Barrel Bourbon (2013),160,5,59.8,"new, charred American oak",30,0,80,40,40,90,90,70,0,30,10,0,60,10
12,Macallan Rare Cask,833,5,43.0,first fill sherry,5,0,25,5,15,85,85,80,0,0,35,10,40,10
13,Four Roses Limited Edition Single Barrel Bourbon (2014),514,4,54.2,"new, charred American oak",10,0,60,60,80,100,100,80,0,20,90,0,80,10
14,Macallan Fine Oak 21 Year,252,5,43.0,ex-sherry/ex-bourbon,15,0,10,0,10,80,85,80,0,0,25,5,30,5
15,Thomas H. Handy Sazerac Rye (Fall 2014),220,3,64.6,new charred oak,0,0,30,5,0,75,70,75,0,0,20,15,30,10
16,Parker's Heritage Promise of Hope,238,4,48.0,new charred oak,0,0,20,0,0,75,75,75,0,0,15,0,20,5
17,George Dickel x Leopold Bros Collaboration Blend (2021 Release),86,4,50.0,,20,0,80,75,10,35,45,35,0,0,30,40,45,15
18,"Booker's Bourbon Batch 2021-01 ""Donohoe's Batch""",122,4,62.65,"new, charred American oak",5,0,25,40,10,75,75,85,0,5,30,10,40,0
19,Bushmills 28 Year The Rare Casks Cognac Cask Single Malt,5,5,46.7,"ex-bourbon and ex-oloroso sherry casks, finished in cognac casks",10,0,30,10,30,55,55,65,0,0,25,30,85,25
20,Bunnahabhain 2008 Mòine Bordeaux Red Wine Cask Matured,33,4,58.1,Bordeaux red wine casks,90,75,80,40,60,100,90,60,30,30,40,10,60,10
21,Bowmore Vintner's Trilogy 26 Year French Oak Barrique,30,5,48.7,ex-bourbon & ex-red wine barriques,65,55,40,20,60,80,80,60,25,10,45,20,25,10
22,Sazerac Rye 18 Year (Fall 2017),36,4,45.0,"new, charred American oak",50,0,85,45,6,50,50,40,0,0,25,40,50,0
23,Ardbeg 17 Year,66,5,40.0,Ex-bourbon Barrels,65,70,10,15,15,5,20,65,55,45,70,0,5,15
24,Teeling Platinum Reserve 30 Year Single Malt,3,5,46.0,ex-bourbon,30,0,60,20,10,70,60,50,0,30,70,20,30,20
25,Hibiki 30 Year,69,5,43.0,,20,10,75,30,20,65,70,85,20,15,30,10,85,25
26,Laphroaig 32 Year,37,5,46.7,ex-Oloroso sherry ,50,70,20,0,20,80,75,60,20,5,40,15,60,0
27,Glenmorangie 1970's Collection '77,14,5,43.0,,30,10,40,10,20,60,70,40,0,0,50,10,30,30
28,Laphroaig Cairdeas 2013 Port Wood Edition,71,4,51.3,ex-bourbon & port barrels,10,40,70,50,20,70,80,80,0,20,80,20,80,80
29,The Last Drop 48 Year Blended Scotch Whisky,9,5,48.6,,10,10,30,20,10,70,60,60,0,0,50,10,60,20
30,Balblair 1983 1st Release,33,5,46.0,ex-bourbon,10,0,35,5,10,75,75,70,0,0,40,10,40,10
31,Hirsch Selection 28 Year Bourbon,11,5,43.4,"new, charred American oak",60,0,80,40,40,100,100,80,10,0,100,60,80,60
32,Oban 21 Year Cask Strength,45,5,58.5,rejuvenated American oak and 2nd fill sherry casks,60,60,70,40,80,100,100,70,50,70,80,60,80,90
33,Wild Turkey Diamond Anniversary Bourbon,310,4,45.5,"new, charred American oak",60,0,60,50,25,50,50,55,0,0,55,25,60,30
34,Black Maple Hill 16 Year Bourbon,69,4,47.5,new charred oak,0,0,15,0,0,80,80,70,0,0,10,5,20,0
35,George T. Stagg Bourbon (Fall 2013),431,5,64.1,New American Oak,30,0,40,40,90,90,90,60,0,0,50,30,70,60
36,Highland Park 30 Year,118,5,48.1,refill ex-sherry casks,50,50,60,30,30,70,70,70,30,50,50,20,60,40
37,Yamazaki 18 Year,1034,5,43.0,"80% Sherry, 20% Mizunara and American",40,20,60,30,30,80,80,80,10,20,50,60,80,60
38,Lark Single Malt Distiller's Selection,24,5,46.0,ex-Aussie-style port oak Quarter Casks,40,45,70,60,35,60,60,40,20,20,20,40,70,50
39,Bushmills 21 Year Single Malt,415,4,40.0,"Ex-bourbon, Oloroso Sherry casks, & ex-Madeira wine",40,10,60,10,20,70,80,80,10,20,60,30,90,47
40,Compass Box Hedonism,795,4,43.0,ex-bourbon,10,10,60,20,30,70,90,80,10,20,60,20,80,50
41,The Last Drop Signature Blend,0,5,60.7,,20,0,60,40,20,90,90,70,0,0,80,30,50,10
42,Heaven Hill 17 Year Heritage Collection Barrel Proof Bourbon (Spring 2022),45,5,59.1,"new, charred American oak",25,0,60,0,15,55,55,60,0,0,35,25,35,0
43,Jack Daniel's Single Barrel Coy Hill High Proof (2021 Special Release),83,3,74.15,"new, charred American oak",35,0,85,50,15,45,45,55,0,0,45,30,60,0
44,Glenlivet 1940 80 Year Generations (Gordon & MacPhail),1,5,44.9,first-fill sherry butt,20,30,40,30,60,80,60,30,0,20,20,30,80,40
45,Glenfiddich Grand Couronne 26 Year,9,5,43.8,"American oak, European oak, ex-Cognac ",0,0,25,0,15,80,85,80,0,5,35,25,40,10
46,Laphroaig 33 Year The Ian Hunter Story Book 3,0,5,49.9,refill ex-bourbon barrels,30,20,30,50,20,40,40,40,20,10,30,25,60,5
47,Michter's US*1 Barrel Strength Kentucky Straight Rye (2021 Release),57,4,55.15,"new, charred American oak",5,0,65,10,10,60,60,65,0,0,25,10,30,0
48,Laphroaig 25 Year Cask Strength (2020 Edition),7,5,49.8,second-fill European oak oloroso sherry and ex-bourbon,70,80,70,20,40,70,70,60,70,50,80,10,40,30
49,WhistlePig The Boss Hog VII: Magellan's Atlantic,71,5,52.6,"new, charred American oak; finished in Spanish oak & South American teakwood",25,0,80,45,15,55,55,50,0,0,25,25,25,0
50,George T. Stagg Bourbon (Fall 2020),258,4,65.2,"new, charred American oak",20,0,30,10,40,90,90,80,0,0,90,20,10,0
51,Redbreast 27 Year,89,5,53.5,"ruby port, ex-bourbon, and ex-oloroso sherry",10,0,55,25,45,60,75,70,15,10,50,20,50,35
52,Mister Sam Blended Whiskey (2019 Release),9,5,66.9,,60,0,55,20,35,65,65,45,0,0,45,20,55,25
53,Bunnahabhain 2005 Palo Cortado Cask Finish,10,5,54.9,finished in Palo Cortado sherry casks,30,0,60,10,40,100,90,70,30,20,20,10,60,20
54,Canadian Club Chronicles 41 Year,48,5,45.0,Used American White Oak,40,0,40,10,10,60,65,60,0,0,50,20,55,35
