,name,total_rating,cost_rank,abv,cask_type,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
1400,Octomore 12.2,27,5,57.3,"ex-bourbon, ex-Sauternes",80,90,60,30,50,80,70,40,20,60,40,60,80,0
1401,Peerless Double Oak Bourbon,61,4,54.35,"new, charred American oak ",10,0,65,20,55,65,70,55,5,5,70,20,20,15
1402,Old Perth 12 Year Blended Malt,7,3,46.0,Sherry casks,0,0,20,30,35,35,40,25,0,0,30,15,35,10
1403,M&H APEX Cognac Cask,7,4,58.8,"ex-bourbon, STR Limousin oak cognac cask",10,0,70,30,20,80,60,40,0,0,40,30,60,50
1404,Ardbeg Fermutation,17,5,49.4,,60,45,20,50,10,45,45,30,25,25,10,10,15,0
1405,Yellowstone Kentucky Straight Bourbon Finished in Amarone Casks (2021 Limited Edition),57,4,50.5,"new, charred American oak, ex-wine ",10,0,30,5,20,80,90,85,0,0,25,20,60,5
1406,Morris Muscat Barrel,7,4,48.0,American and French oak ex-wine barrels; fortified Muscat wine barrels,0,0,25,15,15,55,55,70,0,0,30,10,70,5
1407,Five Brothers Bourbon,31,3,45.0,"new, charred American oak ",10,0,30,10,15,78,75,80,0,0,20,15,30,0
1408,George Dickel 8 Year Bourbon,219,2,45.0,"new, charred American oak",10,0,45,5,5,55,55,65,0,0,15,20,60,0
1409,"Booker's Bourbon Batch 2021-02 ""Tagalong Batch""",107,4,63.95,"new, charred American oak",10,0,75,10,10,65,60,70,0,0,20,40,30,0
1410,Laws Centennial Straight Wheat Whiskey Bottled in Bond (2021 Release),9,3,50.0,,10,0,55,30,65,60,60,65,10,5,65,20,30,25
1411,Big Peat Peatrichor Edition,4,3,53.8,,35,50,20,20,25,35,25,30,20,15,25,10,25,10
1412,Port Charlotte PAC:01 2011,31,4,56.1,1st fill American whiskey barrels & ex-Bordeaux (Pauillac) red wine casks,61,40,10,20,25,60,80,40,25,5,10,10,20,0
1413,New Riff Malted Rye Bottled in Bond,79,3,50.0,"new, charred American oak",30,0,60,60,20,80,70,50,0,0,70,60,20,0
1414,Stranahan's Distillery Exclusive Caribbean Rum Cask,2,3,47.0,"American oak, ex-Caribbean rum casks ",10,0,35,25,15,85,80,70,0,5,25,10,20,10
1415,Stranahan's Original,42,3,47.0,"new, charred American oak (char #3)",15,0,65,20,10,60,60,65,0,0,30,0,30,18
1416,Fettercairn Warehouse 2 Batch No. 001,4,3,49.7,"first-fill American and European oak casks including unseasoned casks and sherry seasoned butts, sherry barrels, ex-bourbon barrels and port pipes.",0,0,35,20,25,35,35,20,0,0,40,20,40,20
1417,Torabhaig 2017 The Legacy Series,33,3,46.0,first-fill bourbon,30,25,10,40,35,30,25,20,20,15,20,35,25,10
1418,Port Askaig 12 Year Spring Edition (Bottled 2020),7,3,45.8,ex-bourbon hogsheads,35,40,35,40,50,60,55,35,40,20,45,25,30,30
1419,Old Elk Straight Wheated Bourbon,190,2,46.0,"new, charred American oak",5,0,30,10,5,70,40,60,0,5,30,20,40,5
1420,Fireside Single Barrel Straight Bourbon,6,2,52.8,"new, charred American oak",15,0,60,0,15,55,55,50,0,0,30,15,25,0
1421,Bardstown Bourbon Co. Discovery Series #4,117,4,57.5,"new, charred American oak",5,0,60,0,10,55,55,40,0,0,25,20,60,0
1422,Tattersall Bottled in Bond Wheated Bourbon,4,2,50.0,"new, charred American oak",10,0,50,50,30,80,70,50,0,20,80,30,20,10
1423,Cedar Ridge Bottled-in-Bond Iowa Bourbon,2,3,50.0,"new, charred American oak",15,0,65,20,60,65,70,60,10,5,65,15,25,15
1424,Jacob's Pardon 15 Year American Whiskey Single Barrel No. 23,2,5,70.9,used barrels,0,0,15,0,15,80,80,65,0,0,30,20,40,0
1425,New Riff Maltster Malted Wheat Bourbon,20,2,50.0,"new, charred American oak",10,0,40,10,20,70,70,50,0,40,80,50,40,0
1426,Old Overholt 11 Year Straight Rye,29,3,46.3,"new, charred American oak",35,0,60,15,15,30,30,50,0,0,40,40,70,0
1427,Highland Park Cask Strength Edition No. 1,66,4,63.3,mostly American oak sherry seasoned casks,35,40,45,45,25,50,50,55,25,25,15,45,65,0
1428,Kilkerran Heavily Peated Batch #3,24,3,59.7,80% ex-Bourbon + 20% Sherry,50,30,30,20,40,45,30,25,15,5,25,15,10,5
1429,Larceny Barrel Proof Bourbon Batch C920,72,2,61.2,"new, charred American oak",5,0,60,15,5,85,85,75,0,5,30,30,45,0
1430,Benriach The Smoky Ten,90,3,46.0,"ex-bourbon, ex-Jamaican rum, toasted virgin oak",50,60,55,35,55,50,50,45,25,15,40,35,40,25
1431,Benriach The Twelve,96,3,46.0,"ex-bourbon, ex-sherry, ex-port",5,0,35,30,55,70,65,55,10,5,55,15,40,20
1432,Michter's US*1 Toasted Barrel Finish Rye (2020 Release),87,4,54.6,"new, charred American oak; finished in a toasted barrel",0,0,65,20,0,60,60,65,0,0,30,10,40,0
1433,Westland Lucky Envelope Cask Exchange 4,6,4,51.3,ex-Westland whiskey barrels which held Imperial Stout ,30,20,40,60,10,70,70,50,0,10,80,80,70,20
1434,Maker's Mark Wood Finishing Series 2020 SE4 x PR5,271,3,55.4,"new, charred American oak; finished with virgin American oak and virgin French oak staves",25,0,75,20,15,40,40,60,0,15,35,25,35,0
1435,Fettercairn 16 Year 1st Release 2020,12,4,46.4,"first-fill American oak ex-bourbon, finished in sherry and port casks",0,0,30,20,40,50,55,30,0,0,20,30,40,15
1436,Mackmyra Moment Efva,5,4,46.3,"oloroso, American oak and ex-bourbon barrels",0,0,35,25,15,35,35,40,0,0,25,20,25,35
1437,Larceny Barrel Proof Bourbon Batch B520,118,2,61.1,"new, charred American oak",30,0,60,30,10,50,50,60,0,10,40,40,30,0
1438,Teeling Blackpitts Peated Single Malt,85,3,46.0,ex-bourbon and ex-Sauternes wine casks,70,50,20,0,50,70,40,50,0,0,70,20,60,30
1439,Stranahan's Blue Peak,130,2,43.0,"new, charred American oak (char #3); further aged in new American oak foeders",15,0,65,54,30,50,50,45,0,0,25,30,55,0
1440,Tormore 14 Year,5,4,43.0,American oak casks,0,0,45,35,40,45,35,30,0,0,35,20,25,10
1441,PUNI Vina Marsala Edition,41,3,43.0,ex-Marsala wine barrels,0,0,15,0,20,80,85,85,0,0,30,25,60,5
1442,Mackmyra Intelligens,26,2,46.1,ex-bourbon Swedish and American oak,0,0,30,30,15,35,25,35,0,10,20,15,40,15
1443,Bearface One Eleven Series Oaxaca Edition,21,2,42.5,American oak ex-bourbon and virgin French oak,50,0,45,20,15,40,45,40,0,5,35,20,45,35
1444,Town Branch Single Malt,25,2,43.5,first-fill used bourbon barrels,5,0,30,10,0,45,45,60,0,0,25,10,50,8
1445,Daftmill 2006 Summer Batch Release (US),3,5,46.0,first-fill bourbon ,5,0,50,0,15,25,30,35,10,7,15,10,33,0
1446,Alberta Premium 20 Year,18,3,42.0,Charred Oak,40,0,50,25,0,40,45,50,0,0,40,20,45,20
1447,Aberfeldy 15 Year French Red Wine Cask Finish,13,3,43.0,"bourbon re-fill and re-charred casks, French red wine casks from Bordeaux",0,0,20,5,35,45,40,25,0,0,15,25,35,15
1448,Knob Creek 12 Year Small Batch Bourbon,971,3,50.0,"new, charred American oak",15,0,65,20,65,70,70,65,10,5,70,20,15,10
1449,Wanderback American Single Malt Batch No. 2,4,3,50.0,"high toast, low char new American oak, finished in ex-rum and ex-bourbon barrels",10,0,60,15,60,65,65,60,10,5,65,20,25,15
1450,Octomore 10.4/88 Virgin Oak,27,4,63.5,virgin French Limousin oak,50,30,40,20,40,50,45,10,20,20,35,10,15,10
1451,Octomore 10.1/107 Scottish Barley,66,4,59.8,first-fill American oak whiskey barrels,50,40,25,10,25,50,60,20,20,10,30,10,25,10
1452,Kilchoman 100% Islay (9th Edition),25,4,50.0,ex-bourbon,25,40,35,40,45,60,60,40,35,20,20,25,20,15
1453,Westland Garryana 2019 Edition 41,18,4,50.0,various featuring Garry oak and Pedro Ximenez sherry,80,0,70,75,40,85,75,20,65,20,30,40,10,20
1454,Chattanooga Whiskey Cask 111,309,2,55.5,toasted and charred oak,10,0,65,20,60,65,65,60,5,5,55,25,35,15
1455,Yellowstone Kentucky Straight Bourbon 9 Year (2019 Limited Edition),56,4,50.5,"new, charred American oak",20,0,90,75,95,85,90,80,0,0,75,30,65,30
