,cost_rank,smoky,peaty,spicy,herbal,oily,full_bodied,rich,sweet,salty,vanilla,tart,fruity,floral
0,5.0,30.0,85.0,50.0,30.0,20.0,80.0,80.0,85.0,15.0,20.0,25.0,85.0,50.0
1,4.0,40.0,30.0,40.0,20.0,40.0,70.0,80.0,70.0,40.0,50.0,50.0,70.0,20.0
2,5.0,15.0,0.0,20.0,0.0,15.0,80.0,90.0,85.0,5.0,30.0,25.0,35.0,0.0
3,4.0,40.0,0.0,65.0,50.0,20.0,60.0,60.0,45.0,0.0,60.0,60.0,45.0,0.0
4,5.0,30.0,20.0,40.0,30.0,10.0,75.0,75.0,60.0,20.0,30.0,20.0,50.0,5.0
5,5.0,50.0,10.0,60.0,0.0,15.0,90.0,100.0,50.0,0.0,20.0,20.0,80.0,10.0
6,5.0,70.0,50.0,20.0,10.0,20.0,80.0,80.0,60.0,5.0,40.0,25.0,50.0,0.0
7,3.0,10.0,0.0,60.0,0.0,10.0,80.0,80.0,80.0,0.0,50.0,10.0,30.0,20.0
8,3.0,10.0,0.0,30.0,0.0,30.0,80.0,80.0,80.0,0.0,60.0,10.0,40.0,20.0
9,5.0,10.0,0.0,25.0,10.0,15.0,80.0,80.0,80.0,10.0,40.0,0.0,40.0,20.0
10,3.0,15.0,0.0,35.0,5.0,20.0,80.0,80.0,75.0,10.0,30.0,20.0,40.0,0.0
11,5.0,30.0,0.0,80.0,40.0,40.0,90.0,90.0,70.0,30.0,10.0,0.0,60.0,10.0
12,5.0,5.0,0.0,25.0,5.0,15.0,85.0,85.0,80.0,0.0,35.0,10.0,40.0,10.0
13,4.0,10.0,0.0,60.0,60.0,80.0,100.0,100.0,80.0,20.0,90.0,0.0,80.0,10.0
14,5.0,15.0,0.0,10.0,0.0,10.0,80.0,85.0,80.0,0.0,25.0,5.0,30.0,5.0
15,3.0,0.0,0.0,30.0,5.0,0.0,75.0,70.0,75.0,0.0,20.0,15.0,30.0,10.0
16,4.0,0.0,0.0,20.0,0.0,0.0,75.0,75.0,75.0,0.0,15.0,0.0,20.0,5.0
17,4.0,20.0,0.0,80.0,75.0,10.0,35.0,45.0,35.0,0.0,30.0,40.0,45.0,15.0
18,4.0,5.0,0.0,25.0,40.0,10.0,75.0,75.0,85.0,5.0,30.0,10.0,40.0,0.0
19,5.0,10.0,0.0,30.0,10.0,30.0,55.0,55.0,65.0,0.0,25.0,30.0,85.0,25.0
20,4.0,90.0,75.0,80.0,40.0,60.0,100.0,90.0,60.0,30.0,40.0,10.0,60.0,10.0
21,5.0,65.0,55.0,40.0,20.0,60.0,80.0,80.0,60.0,10.0,45.0,20.0,25.0,10.0
22,4.0,50.0,0.0,85.0,45.0,6.0,50.0,50.0,40.0,0.0,25.0,40.0,50.0,0.0
23,5.0,65.0,70.0,10.0,15.0,15.0,5.0,20.0,65.0,45.0,70.0,0.0,5.0,15.0
24,5.0,30.0,0.0,60.0,20.0,10.0,70.0,60.0,50.0,30.0,70.0,20.0,30.0,20.0
25,5.0,20.0,10.0,75.0,30.0,20.0,65.0,70.0,85.0,15.0,30.0,10.0,85.0,25.0
26,5.0,50.0,70.0,20.0,0.0,20.0,80.0,75.0,60.0,5.0,40.0,15.0,60.0,0.0
27,5.0,30.0,10.0,40.0,10.0,20.0,60.0,70.0,40.0,0.0,50.0,10.0,30.0,30.0
28,4.0,10.0,40.0,70.0,50.0,20.0,70.0,80.0,80.0,20.0,80.0,20.0,80.0,80.0
29,5.0,10.0,10.0,30.0,20.0,10.0,70.0,60.0,60.0,0.0,50.0,10.0,60.0,20.0
30,5.0,10.0,0.0,35.0,5.0,10.0,75.0,75.0,70.0,0.0,40.0,10.0,40.0,10.0
31,5.0,60.0,0.0,80.0,40.0,40.0,100.0,100.0,80.0,0.0,100.0,60.0,80.0,60.0
32,5.0,60.0,60.0,70.0,40.0,80.0,100.0,100.0,70.0,70.0,80.0,60.0,80.0,90.0
33,4.0,60.0,0.0,60.0,50.0,25.0,50.0,50.0,55.0,0.0,55.0,25.0,60.0,30.0
34,4.0,0.0,0.0,15.0,0.0,0.0,80.0,80.0,70.0,0.0,10.0,5.0,20.0,0.0
35,5.0,30.0,0.0,40.0,40.0,90.0,90.0,90.0,60.0,0.0,50.0,30.0,70.0,60.0
36,5.0,50.0,50.0,60.0,30.0,30.0,70.0,70.0,70.0,50.0,50.0,20.0,60.0,40.0
37,5.0,40.0,20.0,60.0,30.0,30.0,80.0,80.0,80.0,20.0,50.0,60.0,80.0,60.0
38,5.0,40.0,45.0,70.0,60.0,35.0,60.0,60.0,40.0,20.0,20.0,40.0,70.0,50.0
39,4.0,40.0,10.0,60.0,10.0,20.0,70.0,80.0,80.0,20.0,60.0,30.0,90.0,47.0
40,4.0,10.0,10.0,60.0,20.0,30.0,70.0,90.0,80.0,20.0,60.0,20.0,80.0,50.0
41,5.0,20.0,0.0,60.0,40.0,20.0,90.0,90.0,70.0,0.0,80.0,30.0,50.0,10.0
42,5.0,25.0,0.0,60.0,0.0,15.0,55.0,55.0,60.0,0.0,35.0,25.0,35.0,0.0
43,3.0,35.0,0.0,85.0,50.0,15.0,45.0,45.0,55.0,0.0,45.0,30.0,60.0,0.0
44,5.0,20.0,30.0,40.0,30.0,60.0,80.0,60.0,30.0,20.0,20.0,30.0,80.0,40.0
45,5.0,0.0,0.0,25.0,0.0,15.0,80.0,85.0,80.0,5.0,35.0,25.0,40.0,10.0
46,5.0,30.0,20.0,30.0,50.0,20.0,40.0,40.0,40.0,10.0,30.0,25.0,60.0,5.0
47,4.0,5.0,0.0,65.0,10.0,10.0,60.0,60.0,65.0,0.0,25.0,10.0,30.0,0.0
48,5.0,70.0,80.0,70.0,20.0,40.0,70.0,70.0,60.0,50.0,80.0,10.0,40.0,30.0
49,5.0,25.0,0.0,80.0,45.0,15.0,55.0,55.0,50.0,0.0,25.0,25.0,25.0,0.0
50,4.0,20.0,0.0,30.0,10.0,40.0,90.0,90.0,80.0,0.0,90.0,20.0,10.0,0.0
51,5.0,10.0,0.0,55.0,25.0,45.0,60.0,75.0,70.0,10.0,50.0,20.0,50.0,35.0
52,5.0,60.0,0.0,55.0,20.0,35.0,65.0,65.0,45.0,0.0,45.0,20.0,55.0,25.0
53,5.0,30.0,0.0,60.0,10.0,40.0,100.0,90.0,70.0,20.0,20.0,10.0,60.0,20.0
54,5.0,40.0,0.0,40.0,10.0,10.0,60.0,65.0,60.0,0.0,50.0,20.0,55.0,35.0
55,4.0,10.0,0.0,40.0,15.0,15.0,45.0,45.0,60.0,0.0,25.0,50.0,80.0,15.0
56,4.0,35.0,0.0,55.0,20.0,10.0,40.0,40.0,45.0,0.0,25.0,30.0,25.0,0.0
57,4.0,40.0,0.0,40.0,15.0,30.0,45.0,45.0,60.0,15.0,35.0,45.0,65.0,0.0
58,4.0,0.0,0.0,70.0,50.0,30.0,80.0,90.0,70.0,20.0,80.0,20.0,10.0,0.0
