,whisky_id,category,price_tier,abv,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,5,0.26,0.3,0.85,0.5,0.3,0.2,0.8,0.8,0.85,0.16666666666666669,0.2,0.25,0.85,0.5263157894736842
2,2,12,4,0.26,0.4,0.3,0.4,0.2,0.4,0.7000000000000001,0.8,0.7000000000000001,0.4444444444444445,0.5,0.5,0.7000000000000001,0.21052631578947367
3,3,5,5,0.5420000000000001,0.15,0.0,0.2,0.0,0.15,0.8,0.9,0.85,0.05555555555555556,0.3,0.25,0.35000000000000003,0.0
4,4,5,4,0.5690000000000001,0.4,0.0,0.65,0.5,0.2,0.6,0.6,0.45,0.0,0.6,0.6,0.45,0.0
5,5,12,5,0.4780000000000001,0.3,0.2,0.4,0.3,0.1,0.75,0.75,0.6,0.22222222222222224,0.3,0.2,0.5,0.05263157894736842
6,6,15,5,0.29400000000000015,0.5,0.1,0.6,0.0,0.15,0.9,1.0,0.5,0.0,0.2,0.2,0.8,0.10526315789473684
7,7,12,5,0.45000000000000007,0.7000000000000001,0.5,0.2,0.1,0.2,0.8,0.8,0.6,0.05555555555555556,0.4,0.25,0.5,0.0
8,8,13,3,0.6690000000000002,0.1,0.0,0.6,0.0,0.1,0.8,0.8,0.8,0.0,0.5,0.1,0.3,0.21052631578947367
9,9,5,3,0.7459999999999999,0.1,0.0,0.3,0.0,0.3,0.8,0.8,0.8,0.0,0.6,0.1,0.4,0.21052631578947367
10,10,15,5,0.3420000000000001,0.1,0.0,0.25,0.1,0.15,0.8,0.8,0.8,0.11111111111111112,0.4,0.0,0.4,0.21052631578947367
11,11,5,3,0.6869999999999999,0.15,0.0,0.35000000000000003,0.05,0.2,0.8,0.8,0.75,0.11111111111111112,0.3,0.2,0.4,0.0
12,12,5,5,0.596,0.3,0.0,0.8,0.4,0.4,0.9,0.9,0.7000000000000001,0.33333333333333337,0.1,0.0,0.6,0.10526315789473684
13,13,15,5,0.26,0.05,0.0,0.25,0.05,0.15,0.85,0.85,0.8,0.0,0.35000000000000003,0.1,0.4,0.10526315789473684
14,14,5,4,0.4840000000000001,0.1,0.0,0.6,0.6,0.8,1.0,1.0,0.8,0.22222222222222224,0.9,0.0,0.8,0.10526315789473684
15,15,15,5,0.26,0.15,0.0,0.1,0.0,0.1,0.8,0.85,0.8,0.0,0.25,0.05,0.3,0.05263157894736842
16,16,13,3,0.6919999999999998,0.0,0.0,0.3,0.05,0.0,0.75,0.7000000000000001,0.75,0.0,0.2,0.15,0.3,0.10526315789473684
17,17,5,4,0.36,0.0,0.0,0.2,0.0,0.0,0.75,0.75,0.75,0.0,0.15,0.0,0.2,0.05263157894736842
18,18,13,4,0.4,0.2,0.0,0.8,0.75,0.1,0.35000000000000003,0.45,0.35000000000000003,0.0,0.3,0.4,0.45,0.15789473684210525
19,19,5,4,0.6529999999999999,0.05,0.0,0.25,0.4,0.1,0.75,0.75,0.85,0.05555555555555556,0.3,0.1,0.4,0.0
20,20,15,5,0.3340000000000001,0.1,0.0,0.3,0.1,0.3,0.55,0.55,0.65,0.0,0.25,0.3,0.85,0.2631578947368421
21,21,12,4,0.5620000000000002,0.9,0.75,0.8,0.4,0.6,1.0,0.9,0.6,0.33333333333333337,0.4,0.1,0.6,0.10526315789473684
22,22,12,5,0.3740000000000001,0.65,0.55,0.4,0.2,0.6,0.8,0.8,0.6,0.11111111111111112,0.45,0.2,0.25,0.10526315789473684
23,23,13,4,0.30000000000000004,0.5,0.0,0.85,0.45,0.06,0.5,0.5,0.4,0.0,0.25,0.4,0.5,0.0
24,24,12,5,0.20000000000000007,0.65,0.7000000000000001,0.1,0.15,0.15,0.05,0.2,0.65,0.5,0.7000000000000001,0.0,0.05,0.15789473684210525
25,25,15,5,0.32000000000000006,0.3,0.0,0.6,0.2,0.1,0.7000000000000001,0.6,0.5,0.33333333333333337,0.7000000000000001,0.2,0.3,0.21052631578947367
26,26,1,5,0.26,0.2,0.1,0.75,0.3,0.2,0.65,0.7000000000000001,0.85,0.16666666666666669,0.3,0.1,0.85,0.2631578947368421
27,27,12,5,0.3340000000000001,0.5,0.7000000000000001,0.2,0.0,0.2,0.8,0.75,0.6,0.05555555555555556,0.4,0.15,0.6,0.0
28,28,15,5,0.26,0.3,0.1,0.4,0.1,0.2,0.6,0.7000000000000001,0.4,0.0,0.5,0.1,0.3,0.3157894736842105
29,29,12,4,0.42600000000000005,0.1,0.4,0.7000000000000001,0.5,0.2,0.7000000000000001,0.8,0.8,0.22222222222222224,0.8,0.2,0.8,0.8421052631578947
30,30,1,5,0.3720000000000001,0.1,0.1,0.3,0.2,0.1,0.7000000000000001,0.6,0.6,0.0,0.5,0.1,0.6,0.21052631578947367
