,whisky_id,link,image,name,avr_rating,category,location,total_rating,price_tier,abv,cask_type,smoky,peaty,spicy,herbal,oily,body,rich,sweet,salty,vanilla,tart,fruity,floral
0,1,/spirits/hibiki-21-year,"https://ip-distiller.imgix.net/images/spirits/42372d30-4dbf-0132-ff20-4a02559918a4/hibiki-21_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Hibiki 21 Year,9.01,Blended,Japan,861.0,5,43.0,"ex-bourbon American oak, ex-sherry European oak, Japanese mizunara",30,85,50,30,20,80,80,85,15,20,25,85,50
1,2,/spirits/highland-park-18,"https://ip-distiller.imgix.net/images/spirits/0755d5c9-c3c7-41e2-9dbe-401070ab6f19/highland_park_18_new_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Highland Park 18 Year,8.89,Peated Single Malt,"Islands, Scotland",2988.0,4,43.0,ex-sherry,40,30,40,20,40,70,80,70,40,50,50,70,20
2,3,/spirits/michter-s-20-year-kentucky-straight-bourbon-2021-release,"https://ip-distiller.imgix.net/images/spirits/c03d5430-18a8-013a-6798-4637613bb8aa/michters_20_year_2018_original_original_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Michter's 20 Year Kentucky Straight Bourbon (2021 Release),9.0,Bourbon,"Kentucky, USA",10.0,5,57.1,"new, charred American oak",15,0,20,0,15,80,90,85,5,30,25,35,0
3,4,/spirits/george-t-stagg-bourbon-fall-2019,"https://ip-distiller.imgix.net/images/spirits/96133fd0-b701-0137-c627-0a8f7e82b852/btac_gts_2019_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",George T. Stagg Bourbon (Fall 2019),9.06,Bourbon,"Kentucky, USA",629.0,4,58.45,"new, charred American oak",40,0,65,50,20,60,60,45,0,60,60,45,0
4,5,/spirits/bowmore-mizunara-cask-finish,"https://ip-distiller.imgix.net/images/spirits/a2fd4c90-7bf1-0133-e87d-6a913c28256d/bowmore_single_malt_mizunara_cask_finish_whisky_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Bowmore Mizunara Cask Finish,7.86,Peated Single Malt,"Islay, Scotland",22.0,5,53.9,"ex-bourbon, ex-sherry, new Mizunara oak",30,20,40,30,10,75,75,60,20,30,20,50,5
5,6,/spirits/the-macallan-m,"https://ip-distiller.imgix.net/images/spirits/a2f91f60-7b29-0133-fe8a-4e080c81bb47/the_macallan_m_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Macallan M,8.68,Single Malt,"Highlands, Scotland",47.0,5,44.7,sherry oak casks,50,10,60,0,15,90,100,50,0,20,20,80,10
6,7,/spirits/port-ellen-32-year-1979-2012-special-release,"https://ip-distiller.imgix.net/images/spirits/d1bfe6c0-5a76-0133-8b8a-121ac42cec7e/port_ellen_1979_32_year_2012_limited_release_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Port Ellen 32 Year 1979 (2012 Special Release),9.78,Peated Single Malt,"Islay, Scotland",27.0,5,52.5,"American oak, refill European oak ",70,50,20,10,20,80,80,60,5,40,25,50,0
7,8,/spirits/thomas-h-handy-sazerac-rye-fall-2015,"https://ip-distiller.imgix.net/images/spirits/acb8dac0-43a6-0133-4f6b-6e49329533a6/thomas_h_handy_sazerac_straight_rye_2015_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Thomas H. Handy Sazerac Rye (Fall 2015),9.21,Rye,"Kentucky, USA",169.0,3,63.45,"new, charred American oak",10,0,60,0,10,80,80,80,0,50,10,30,20
8,9,/spirits/william-larue-weller-bourbon-fall-2015,"https://ip-distiller.imgix.net/images/spirits/a2256390-43a3-0133-4f6a-6e49329533a6/william_larue_weller_bourbon_2015_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",William Larue Weller Bourbon (Fall 2015),9.33,Bourbon,"Kentucky, USA",252.0,3,67.3,"new, charred American oak",10,0,30,0,30,80,80,80,0,60,10,40,20
9,10,/spirits/the-balvenie-tun-1509-batch-1,"https://ip-distiller.imgix.net/images/spirits/b2c514d0-a8a0-0132-a462-0298fdb44177/balvenie-tun-1509-batch-1_original.jpg?w=120&h=120&mark-w=35&mark-h=35&fit=crop&crop=right&mark-align=top,left&mark-pad=0&mark=",Balvenie Tun 1509 Batch 1,9.22,Single Malt,"Speyside, Scotland",80.0,5,47.1,ex-bourbon/ex-sherry,10,0,25,10,15,80,80,80,10,40,0,40,20
